Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Scinax quinquefasciatus;Insecta;;;Feeds on;Ecuador;Galapagos Islands;;;;Understanding Invasive Species in the Galapagos Islands - From the Molecular to the Landscape;
Aegialomys galapagoensis;Bursera graveolens;;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;;;10.1007/BF00376900;Interaction probable
Aegialomys galapagoensis;Zalophus wollebacki;;;Feeds on placenta;Ecuador;Galapagos Islands;Santa Fe;;;10.18272/aci.v4i2.97;
Aegialomys galapagoensis;Insecta;;;Feeds on;Ecuador;Galapagos Islands;;;;https://www.arkive.org/galapagos-rice-rat/aegialomys-galapagoensis/image-G86127.html;
Aegialomys galapagoensis;Plantae;Plants;;Feeds on;Ecuador;Galapagos Islands;;;;https://www.arkive.org/galapagos-rice-rat/aegialomys-galapagoensis/image-G86127.html;
Aegialomys galapagoensis;Plantae;Plants;;Feeds on seeds;Ecuador;Galapagos Islands;;;;https://www.arkive.org/galapagos-rice-rat/aegialomys-galapagoensis/image-G86127.html;
Aegialomys galapagoensis;Opuntia spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Aegialomys galapagoensis;Xylocopa darwini;Carpenter bee;;Feeds on;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Aegialomys galapagoensis;Scalesia spp.;Sunflower;;Feeds on fruits;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Aegialomys galapagoensis;Hyles lineata;White-lined sphinx moth;;Feeds on;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Aegialomys galapagoensis;Aegialomys galapagoensis;;;Feeds on;Ecuador;Galapagos Islands;;;;Statut actuel des mammifères des îles Galapagos;In captivity, when starved
Aegialomys galapagoensis;Fish;Fish;;Feeds on;Ecuador;Galapagos Islands;Barrington;;;Statut actuel des mammifères des îles Galapagos;
Aegialomys galapagoensis;Acrididae;;;Feeds on;Ecuador;Galapagos Islands;Barrington;;;Statut actuel des mammifères des îles Galapagos;
Aegialomys galapagoensis;Cryptocarpus periformis;;;Feeds on;Ecuador;Galapagos Islands;Barrington;;;Statut actuel des mammifères des îles Galapagos;
Aegialomys galapagoensis;Amblyrhynchus cristatus;Marine iguana;;Feeds on eggs;Ecuador;Galapagos Islands;Fernandina;;;An ecological study of the Galapagos Marine iguana in Patterns of evolution in Galapagos organisms;
Aegialomys galapagoensis;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;;;;An ecological study of the Galapagos Marine iguana in Patterns of evolution in Galapagos organisms;
Arctocephalus galapagoensis;;Squids;;Feeds on;Ecuador;Galapagos Islands;;;;Atlas de Galapagos;
Arctocephalus galapagoensis;Myctophidae;Lantern fish;;Feeds on;Ecuador;Galapagos Islands;;;;Atlas de Galapagos;
Bos taurus;Psidium guajava;;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Understanding Invasive Species in the Galapagos Islands - From the Molecular to the Landscape;
Bos taurus;Psidium guajava;;;Disperse;Ecuador;Galapagos Islands;;;;Understanding Invasive Species in the Galapagos Islands - From the Molecular to the Landscape;
Bos taurus;Paspalum galapageium;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Bos taurus;Desmodium canum;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Bos taurus;Miconia sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Bos taurus;Scalesia pedunculata;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Bos taurus;Passiflora edulis;;;Feeds on fruits;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1749-4877.2011.00236.x;
Bos taurus;Persea americana;Avocado;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Flowering plants of the Galapagos islands;
Canis lupus familiaris;Conolophus subcristatus;;;Feeds on;Ecuador;Galapagos Islands;;;;10.1007/s10530-011-0090-z;
Canis lupus familiaris;Conolophus subcristatus;;;Feeds on young;Ecuador;Galapagos Islands;;;;The restoration of giant tortoise and land iguana populations in Galapagos;
Canis lupus familiaris;Amblyrhynchus cristatus;;;Feeds on;Ecuador;Galapagos Islands;;;;10.1007/s10530-011-0090-z;
Canis lupus familiaris;Spheniscus mendiculus;;;Feeds on;Ecuador;Galapagos Islands;;;;10.1007/s10530-011-0090-z;
Canis lupus familiaris;Seabirds;Seabirds;;Feeds on;Ecuador;Galapagos Islands;;;;10.1007/s10530-011-0090-z;Interaction probable
Canis lupus familiaris;Chelonoidis spp.;;;Feeds on eggs;Ecuador;Galapagos Islands;;;;10.1016/0006-3207(78)90038-1;
Canis lupus familiaris;Pterodroma phaepygia;;;Feeds on eggs;Ecuador;Galapagos Islands;;;;https://doi.org/10.1017/S0959270900001283;
Canis lupus familiaris;Pterodroma phaepygia;;;Feeds on young;Ecuador;Galapagos Islands;;;;https://doi.org/10.1017/S0959270900001283;
Canis lupus familiaris;Pterodroma phaepygia;;;Feeds on;Ecuador;Galapagos Islands;;;;The endangered petrel of the Galapagos volcanoes;
Canis lupus familiaris;Geochelone elephantopus;Giant tortoise;;Feeds on young;Ecuador;Galapagos Islands;;;;https://doi.org/10.1016/0006-3207(74)90024-X;
Canis lupus familiaris;Phalacrocorax harrisi;;;Feeds on;Ecuador;Galapagos Islands;;;;Critical problems for bird conservation in the Galapagos Islands;
Canis lupus familiaris;Leucophaeus fuliginosus;;;Feeds on;Ecuador;Galapagos Islands;;;;;
Canis lupus familiaris;Geochelone elephantopus;;;Feeds on eggs;Ecuador;Galapagos Islands;;;;The restoration of giant tortoise and land iguana populations in Galapagos;
Canis lupus familiaris;Geochelone elephantopus;;;Feeds on young;Ecuador;Galapagos Islands;;;;The restoration of giant tortoise and land iguana populations in Galapagos;
Canis lupus familiaris;Spheniscus mendiculus;;;Feeds on;Ecuador;Galapagos Islands;;;;Population sizes and potential conservation problems of the endemic Galapagos penguin and Flightless cormorant;
Canis lupus familiaris;Canis lupus familiaris;;;Feeds on;Ecuador;Galapagos Islands;Isabela;;;Feral dogs of southern Isabela;
Canis lupus familiaris;Sula dactylatra;;;Feeds on;Ecuador;Galapagos Islands;Isabela;;;Dog days on Isabela;
Canis lupus;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Sierra Negra);1934;;Eradication and control of feral and free-ranging dogs in the Galapagos Islands;
Canis lupus;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Zalophus wollebaeki;Sea lion;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Arctocephalus galapagoensis;Fur seal;;Feeds on young;Ecuador;Galapagos Islands;Isabela (Cartago Bay);1983;;Feral dogs of Galapagos Islands: Impact and control;
