"";"x"
"1";"Amblyrhynchus cristatus"
"2";"Ardea alba"
"3";"Ardea herodias"
"4";"Arenaria interpres"
"5";"Asio flammeus"
"6";"Bos taurus"
"7";"Bubulcus ibis"
"8";"Buteo galapagoensis"
"9";"Butorides sundevalli"
"10";"Camarhynchus heliobates"
"11";"Camarhynchus pallidus"
"12";"Camarhynchus parvulus"
"13";"Camarhynchus pauper"
"14";"Camarhynchus psittacula"
"15";"Canis lupus"
"16";"Capra hircus"
"17";"Certhidea fusca"
"18";"Certhidea olivacea"
"19";"Chelonia mydas"
"20";"Chelonoidis chathamensis"
"21";"Chelonoidis niger"
"22";"Coccyzus melacoryphus"
"23";"Conolophus marthae"
"24";"Conolophus pallidus"
"25";"Conolophus subcristatus"
"26";"Crotophaga ani"
"27";"Equus asinus"
"28";"Equus caballus"
"29";"Falco peregrinus"
"30";"Felis catus"
"31";"Fregata magnificens"
"32";"Fregata minor"
"33";"Geospiza conirostris"
"34";"Geospiza difficilis"
"35";"Geospiza fortis"
"36";"Geospiza fuliginosa"
"37";"Geospiza magnirostris"
"38";"Geospiza scandens"
"39";"Geospiza septentrionalis"
"40";"Laterallus spilonota"
"41";"Leucophaeus fuliginosus"
"42";"Microlophus albemarlensis"
"43";"Microlophus bivittatus"
"44";"Microlophus delanonis"
"45";"Microlophus duncanensis"
"46";"Microlophus grayii"
"47";"Microlophus habelii"
"48";"Microlophus indefatigabilis"
"49";"Microlophus pacificus"
"50";"Mimus macdonaldi"
"51";"Mimus melanotis"
"52";"Mimus parvulus"
"53";"Mimus trifasciatus"
"54";"Mus musculus"
"55";"Myiarchus magnirostris"
"56";"Nesoryzomys swarthi"
"57";"Nyctanassa violacea"
"58";"Oceanites gracilis"
"59";"Oceanodroma tethys"
"60";"Oryzomys galapagoensis"
"61";"Pelecanus occidentalis"
"62";"Phoebastria irrorata"
"63";"Platyspiza crassirostris"
"64";"Pseudalsophis biserialis"
"65";"Rattus norvegicus"
"66";"Rattus rattus"
"67";"Setophaga petechia"
"68";"Sus scrofa"
"69";"Tyto alba"
"70";"Zalophus wollebaeki"
"71";"Zenaida galapagoensis"
